parcel_id,district,zone,land_use,parcel_size_sqm,current_status,infrastructure_score,development_potential_score,estimated_value_aed,recommended_use
PRC-0275,Khalifa City,Z-RES-04,residential,23219,vacant,63,59,94120000,mid_rise_residential
PRC-0276,Khalifa City,Z-COM-04,commercial,5494,vacant,71,74,19010000,neighborhood_retail
PRC-0277,Al Zahiyah,Z-IND-01,industrial,31439,developed,84,71,97180000,light_logistics
PRC-0278,Al Raha Beach,Z-RES-02,residential,20082,vacant,82,56,157580000,sustainable_residential
PRC-0279,Al Reem Island,Z-RES-04,residential,9236,reserved,76,78,35970000,mid_rise_residential
PRC-0280,Al Bahia,Z-CMU-05,community,8959,under_development,73,100,27410000,healthcare_cluster
PRC-0281,Zayed City,Z-IND-01,industrial,37563,developed,61,72,99080000,light_logistics
PRC-0282,Zayed City,Z-IND-03,industrial,42900,vacant,56,66,134790000,ev_assembly_facility
PRC-0283,Al Ghadeer,Z-HOS-01,hospitality,15178,vacant,68,86,37160000,resort_hospitality
PRC-0284,Zayed City,Z-RES-01,residential,9582,vacant,76,59,25010000,beachfront_residential
PRC-0285,Mohammed Bin Zayed City,Z-CMU-01,community,9217,vacant,67,67,24730000,civic_center
PRC-0286,Mohammed Bin Zayed City,Z-RES-04,residential,19462,vacant,83,84,53830000,sustainable_residential
PRC-0287,Zayed City,Z-COM-04,commercial,10231,developed,66,72,35780000,financial_offices
PRC-0288,Khalifa City,Z-RES-04,residential,9215,developed,70,66,24500000,low_rise_residential
PRC-0289,Al Raha Beach,Z-RES-03,residential,9251,vacant,87,89,53720000,affordable_housing
PRC-0290,Al Raha Beach,Z-IND-01,industrial,18725,under_development,89,94,114010000,warehousing_hub
PRC-0291,Al Ghadeer,Z-RES-03,residential,12732,reserved,55,92,28880000,mid_rise_residential
PRC-0292,Al Maqta,Z-HOS-02,hospitality,13584,under_development,79,78,41490000,urban_boutique_hotel
PRC-0293,Al Bahia,Z-CMU-05,community,14661,under_development,58,66,32650000,healthcare_cluster
PRC-0294,Yas Island,Z-COM-04,commercial,8121,developed,91,65,43030000,financial_offices
PRC-0295,Mohammed Bin Zayed City,Z-RES-02,residential,16460,developed,56,69,38140000,mid_rise_residential
PRC-0296,Al Maqta,Z-RES-05,residential,6816,vacant,65,89,16390000,low_rise_residential
PRC-0297,Al Maqta,Z-COM-01,commercial,11422,vacant,75,82,27770000,entertainment_retail
PRC-0298,Al Reef,Z-MIX-02,mixed_use,26848,developed,71,51,53140000,transit_oriented_development
PRC-0299,Yas Island,Z-COM-01,commercial,9713,vacant,76,78,60460000,coworking_offices
PRC-0300,Al Khalidiyah,Z-COM-01,commercial,7109,developed,84,98,37700000,innovation_offices
PRC-0301,Al Reef,Z-MIX-03,mixed_use,17677,vacant,56,59,41300000,transit_oriented_development
PRC-0302,Al Zahiyah,Z-IND-02,industrial,14272,vacant,75,60,43430000,warehousing_hub
PRC-0303,Mohammed Bin Zayed City,Z-RES-01,residential,21979,vacant,70,75,83150000,sustainable_residential
PRC-0304,Danet Abu Dhabi,Z-COM-05,commercial,10832,under_development,88,77,43430000,entertainment_retail
PRC-0305,Al Reef,Z-CMU-02,community,13126,developed,72,98,34930000,university_expansion
PRC-0306,Danet Abu Dhabi,Z-CMU-04,community,17347,developed,87,79,80080000,school_campus
PRC-0307,Masdar City,Z-MIX-01,mixed_use,22217,developed,83,69,90290000,transit_oriented_development
PRC-0308,Saadiyat Island,Z-COM-02,commercial,8180,under_development,93,58,65450000,coworking_offices
PRC-0309,Masdar City,Z-MIX-04,mixed_use,28203,developed,77,76,123850000,cultural_mixed_use
PRC-0310,Al Raha Beach,Z-MIX-05,mixed_use,24479,developed,92,85,116670000,waterfront_mixed_use
PRC-0311,Zayed City,Z-RES-04,residential,24493,developed,73,86,130000000,high_rise_residential
PRC-0312,Danet Abu Dhabi,Z-CMU-03,community,16181,developed,83,70,72180000,school_campus
PRC-0313,Yas Island,Z-COM-03,commercial,6267,developed,86,63,29870000,neighborhood_retail
PRC-0314,Danet Abu Dhabi,Z-RES-04,residential,9732,developed,83,52,45130000,affordable_housing
PRC-0315,Zayed City,Z-COM-05,commercial,6045,under_development,74,62,14560000,coworking_offices
PRC-0316,Al Zahiyah,Z-RES-02,residential,19819,developed,79,69,98060000,sustainable_residential
PRC-0317,Masdar City,Z-RES-01,residential,6885,developed,85,100,30770000,mid_rise_residential
PRC-0318,Corniche,Z-RES-04,residential,13326,vacant,100,76,84030000,sustainable_residential
PRC-0319,Al Ghadeer,Z-RES-01,residential,24694,vacant,61,54,55100000,high_rise_residential
PRC-0320,Al Maqta,Z-IND-01,industrial,22083,developed,72,77,86020000,cleantech_manufacturing
PRC-0321,Al Raha Beach,Z-HOS-01,hospitality,15481,developed,93,97,73000000,marina_hotel
PRC-0322,Zayed City,Z-COM-02,commercial,11460,vacant,73,41,39190000,neighborhood_retail
PRC-0323,Al Maryah Island,Z-RES-04,residential,7906,developed,100,63,61660000,low_rise_residential
PRC-0324,Al Ghadeer,Z-HOS-01,hospitality,6630,vacant,56,61,22480000,resort_hospitality
PRC-0325,Corniche,Z-CMU-05,community,17208,under_development,78,63,96510000,healthcare_cluster
PRC-0326,Al Maryah Island,Z-RES-03,residential,25341,developed,100,73,282870000,high_rise_residential
PRC-0327,Corniche,Z-RES-02,residential,24958,developed,95,89,165940000,mid_rise_residential
PRC-0328,Al Ghadeer,Z-MIX-01,mixed_use,10427,developed,59,84,18920000,transit_oriented_development
PRC-0329,Al Reef,Z-CMU-05,community,15961,developed,74,78,39670000,healthcare_cluster
PRC-0330,Khalifa City,Z-RES-04,residential,6663,vacant,64,85,20830000,mid_rise_residential
PRC-0331,Al Maryah Island,Z-RES-01,residential,21050,developed,95,86,169090000,beachfront_residential
PRC-0332,Al Maryah Island,Z-HOS-03,hospitality,15165,under_development,100,78,112820000,urban_boutique_hotel
PRC-0333,Al Maryah Island,Z-RES-04,residential,11970,vacant,87,61,95040000,sustainable_residential
PRC-0334,Danet Abu Dhabi,Z-RES-03,residential,16141,vacant,87,38,45430000,low_rise_residential
PRC-0335,Saadiyat Island,Z-MIX-02,mixed_use,11908,vacant,86,79,121750000,premium_mixed_use
PRC-0336,Al Maqta,Z-RES-01,residential,15242,vacant,67,33,50600000,affordable_housing
PRC-0337,Mussafah,Z-MIX-01,mixed_use,26678,under_development,75,50,59360000,cultural_mixed_use
PRC-0338,Mohammed Bin Zayed City,Z-HOS-01,hospitality,6816,under_development,64,74,16930000,resort_hospitality
PRC-0339,Al Maryah Island,Z-RES-02,residential,17318,under_development,100,60,134520000,high_rise_residential
PRC-0340,Saadiyat Island,Z-IND-04,industrial,43357,under_development,91,79,309810000,cleantech_manufacturing
PRC-0341,Al Zahiyah,Z-RES-01,residential,7441,vacant,79,100,22820000,sustainable_residential
PRC-0342,Masdar City,Z-RES-01,residential,6547,under_development,92,45,23070000,low_rise_residential
PRC-0343,Al Maryah Island,Z-HOS-04,hospitality,18366,developed,93,63,129500000,urban_boutique_hotel
PRC-0344,Al Khalidiyah,Z-RES-04,residential,23367,vacant,83,51,95490000,affordable_housing
PRC-0345,Corniche,Z-MIX-02,mixed_use,13531,under_development,93,59,56360000,marina_mixed_use
PRC-0346,Corniche,Z-MIX-02,mixed_use,10702,developed,93,92,58000000,marina_mixed_use
PRC-0347,Mohammed Bin Zayed City,Z-MIX-02,mixed_use,14461,developed,72,81,39190000,cultural_mixed_use
PRC-0348,Zayed City,Z-RES-03,residential,15455,vacant,65,86,45150000,mid_rise_residential
PRC-0349,Saadiyat Island,Z-MIX-03,mixed_use,15406,under_development,98,61,96900000,transit_oriented_development
PRC-0350,Mussafah,Z-MIX-02,mixed_use,24035,under_development,58,70,57010000,waterfront_mixed_use
PRC-0351,Saadiyat Island,Z-RES-01,residential,22685,under_development,91,73,116570000,low_rise_residential
PRC-0352,Al Maqta,Z-MIX-03,mixed_use,9103,developed,72,81,33460000,transit_oriented_development
PRC-0353,Al Khalidiyah,Z-IND-02,industrial,31261,developed,88,73,132220000,warehousing_hub
PRC-0354,Al Reef,Z-MIX-01,mixed_use,19801,reserved,68,95,61420000,cultural_mixed_use
PRC-0355,Al Shamkha,Z-MIX-04,mixed_use,17076,vacant,62,63,39520000,waterfront_mixed_use
PRC-0356,Al Maqta,Z-HOS-03,hospitality,12448,vacant,71,75,40220000,marina_hotel
PRC-0357,Al Bateen,Z-COM-04,commercial,3613,reserved,99,66,20020000,innovation_offices
PRC-0358,Mussafah,Z-MIX-03,mixed_use,10906,under_development,67,64,23390000,transit_oriented_development
PRC-0359,Mohammed Bin Zayed City,Z-MIX-02,mixed_use,17171,developed,67,77,42490000,premium_mixed_use
PRC-0360,Al Khalidiyah,Z-IND-02,industrial,36108,vacant,82,71,182830000,light_logistics
PRC-0361,Al Bahia,Z-CMU-05,community,10433,under_development,64,82,28460000,healthcare_cluster
PRC-0362,Mussafah,Z-RES-03,residential,13536,vacant,69,86,28360000,beachfront_residential
PRC-0363,Mohammed Bin Zayed City,Z-CMU-02,community,13134,under_development,69,97,49390000,school_campus
PRC-0364,Al Bahia,Z-COM-01,commercial,6736,under_development,68,69,18320000,neighborhood_retail
PRC-0365,Masdar City,Z-IND-02,industrial,40668,developed,95,73,178420000,cleantech_manufacturing
PRC-0366,Al Maqta,Z-RES-05,residential,17431,reserved,69,69,55920000,mid_rise_residential
PRC-0367,Al Reef,Z-COM-01,commercial,5552,under_development,73,75,13060000,entertainment_retail
PRC-0368,Yas Island,Z-HOS-01,hospitality,12722,vacant,92,72,49850000,urban_boutique_hotel
PRC-0369,Al Maryah Island,Z-IND-01,industrial,37027,under_development,93,73,410120000,light_logistics
PRC-0370,Saadiyat Island,Z-MIX-04,mixed_use,19334,under_development,98,64,118210000,waterfront_mixed_use
PRC-0371,Zayed City,Z-CMU-03,community,15882,vacant,60,56,47840000,healthcare_cluster
PRC-0372,Al Maqta,Z-HOS-02,hospitality,10791,vacant,72,69,40310000,urban_boutique_hotel
PRC-0373,Al Ghadeer,Z-RES-04,residential,10389,developed,47,78,19960000,low_rise_residential
PRC-0374,Danet Abu Dhabi,Z-IND-02,industrial,34832,developed,85,70,167810000,warehousing_hub
PRC-0375,Al Ghadeer,Z-HOS-03,hospitality,11104,under_development,66,91,26100000,marina_hotel
PRC-0376,Danet Abu Dhabi,Z-MIX-04,mixed_use,28836,developed,74,82,134530000,cultural_mixed_use
PRC-0377,Al Ghadeer,Z-MIX-05,mixed_use,13437,vacant,57,38,39080000,cultural_mixed_use
PRC-0378,Saadiyat Island,Z-COM-02,commercial,10333,vacant,97,63,70730000,neighborhood_retail
PRC-0379,Al Bahia,Z-MIX-02,mixed_use,24259,vacant,71,93,68710000,cultural_mixed_use
PRC-0380,Khalifa City,Z-MIX-05,mixed_use,26160,developed,82,66,72500000,transit_oriented_development
PRC-0381,Al Ghadeer,Z-IND-05,industrial,32954,developed,66,100,61390000,ev_assembly_facility
PRC-0382,Corniche,Z-RES-02,residential,16763,under_development,88,73,84750000,low_rise_residential
PRC-0383,Al Shamkha,Z-RES-02,residential,20852,developed,69,67,62740000,high_rise_residential
PRC-0384,Danet Abu Dhabi,Z-HOS-05,hospitality,9428,vacant,93,88,32710000,urban_boutique_hotel
PRC-0385,Al Maqta,Z-MIX-02,mixed_use,9331,developed,69,48,29890000,premium_mixed_use
PRC-0386,Al Bateen,Z-RES-04,residential,25360,under_development,89,86,106250000,affordable_housing
PRC-0387,Yas Island,Z-MIX-04,mixed_use,10347,developed,89,58,55240000,waterfront_mixed_use
PRC-0388,Khalifa City,Z-RES-04,residential,15071,reserved,63,87,41030000,low_rise_residential
PRC-0389,Mussafah,Z-RES-02,residential,14501,under_development,77,69,34360000,sustainable_residential
PRC-0390,Saadiyat Island,Z-RES-02,residential,8656,vacant,83,76,48200000,mid_rise_residential
PRC-0391,Masdar City,Z-RES-04,residential,23092,under_development,91,81,106390000,sustainable_residential
PRC-0392,Al Khalidiyah,Z-COM-01,commercial,5298,vacant,93,76,16800000,entertainment_retail
PRC-0393,Al Reef,Z-HOS-05,hospitality,6325,under_development,73,71,16700000,marina_hotel
PRC-0394,Corniche,Z-RES-04,residential,23149,under_development,92,74,82340000,mid_rise_residential
PRC-0395,Al Maqta,Z-MIX-04,mixed_use,19969,under_development,72,83,70440000,premium_mixed_use
PRC-0396,Al Bahia,Z-RES-01,residential,23757,under_development,72,76,63530000,affordable_housing
PRC-0397,Al Reem Island,Z-CMU-05,community,8410,under_development,85,59,33000000,healthcare_cluster
PRC-0398,Al Shamkha,Z-HOS-01,hospitality,19224,developed,63,62,54670000,marina_hotel
PRC-0399,Al Maqta,Z-MIX-04,mixed_use,12160,vacant,72,80,28450000,waterfront_mixed_use
PRC-0400,Al Maqta,Z-COM-05,commercial,9956,under_development,65,51,38040000,innovation_offices
PRC-0401,Al Reef,Z-IND-01,industrial,18335,under_development,67,58,50250000,light_logistics
PRC-0402,Al Zahiyah,Z-HOS-01,hospitality,5116,developed,85,88,17750000,urban_boutique_hotel
PRC-0403,Mussafah,Z-HOS-05,hospitality,8160,vacant,51,47,14310000,resort_hospitality
PRC-0404,Zayed City,Z-MIX-01,mixed_use,14881,developed,71,98,36290000,waterfront_mixed_use
PRC-0405,Al Reem Island,Z-RES-01,residential,25253,vacant,83,86,116860000,low_rise_residential
PRC-0406,Yas Island,Z-CMU-01,community,15744,under_development,94,91,83170000,healthcare_cluster
PRC-0407,Mohammed Bin Zayed City,Z-HOS-02,hospitality,18361,vacant,62,62,49310000,marina_hotel
PRC-0408,Al Khalidiyah,Z-MIX-05,mixed_use,24904,vacant,89,64,116400000,cultural_mixed_use
PRC-0409,Mohammed Bin Zayed City,Z-COM-04,commercial,11650,under_development,69,55,36120000,innovation_offices
PRC-0410,Al Shamkha,Z-HOS-05,hospitality,21800,vacant,64,57,48440000,marina_hotel
PRC-0411,Corniche,Z-MIX-05,mixed_use,6370,vacant,90,78,51410000,cultural_mixed_use
PRC-0412,Al Bahia,Z-MIX-03,mixed_use,12505,developed,68,74,40600000,transit_oriented_development
PRC-0413,Zayed City,Z-RES-04,residential,25408,developed,57,61,80190000,sustainable_residential
PRC-0414,Yas Island,Z-MIX-03,mixed_use,11135,under_development,98,52,49670000,marina_mixed_use
PRC-0415,Al Ghadeer,Z-COM-04,commercial,9359,developed,63,61,17450000,entertainment_retail
PRC-0416,Mohammed Bin Zayed City,Z-HOS-01,hospitality,21964,developed,72,61,58660000,resort_hospitality
PRC-0417,Zayed City,Z-RES-04,residential,23176,vacant,69,85,70860000,sustainable_residential
PRC-0418,Al Ghadeer,Z-RES-04,residential,23310,developed,53,83,60320000,sustainable_residential
PRC-0419,Danet Abu Dhabi,Z-MIX-05,mixed_use,11876,vacant,84,74,48220000,transit_oriented_development
PRC-0420,Al Zahiyah,Z-RES-03,residential,16256,vacant,76,88,51620000,affordable_housing
PRC-0421,Zayed City,Z-RES-04,residential,15460,developed,77,77,47060000,mid_rise_residential
PRC-0422,Al Shamkha,Z-IND-03,industrial,40959,vacant,67,79,105680000,light_logistics
PRC-0423,Al Ghadeer,Z-CMU-03,community,14082,developed,58,59,23820000,healthcare_cluster
PRC-0424,Zayed City,Z-MIX-01,mixed_use,12091,developed,72,66,35240000,premium_mixed_use
PRC-0425,Al Shamkha,Z-COM-05,commercial,7768,under_development,66,87,18930000,innovation_offices
PRC-0426,Al Khalidiyah,Z-HOS-01,hospitality,5516,under_development,85,77,22840000,marina_hotel
PRC-0427,Yas Island,Z-MIX-01,mixed_use,10768,vacant,88,81,40280000,marina_mixed_use
PRC-0428,Al Raha Beach,Z-CMU-01,community,16425,under_development,93,80,91200000,healthcare_cluster
PRC-0429,Al Zahiyah,Z-HOS-01,hospitality,19817,developed,90,53,71470000,marina_hotel
PRC-0430,Corniche,Z-RES-04,residential,15070,developed,88,83,105150000,beachfront_residential
PRC-0431,Zayed City,Z-CMU-01,community,13380,vacant,72,76,34400000,healthcare_cluster
PRC-0432,Mohammed Bin Zayed City,Z-RES-02,residential,9658,developed,72,81,24210000,affordable_housing
PRC-0433,Masdar City,Z-CMU-02,community,12402,developed,88,75,40880000,civic_center
PRC-0434,Al Reem Island,Z-COM-05,commercial,9463,vacant,91,68,48230000,entertainment_retail
PRC-0435,Yas Island,Z-MIX-04,mixed_use,19772,vacant,88,74,112450000,marina_mixed_use
PRC-0436,Al Reef,Z-RES-04,residential,16134,under_development,54,84,60200000,high_rise_residential
PRC-0437,Al Bateen,Z-COM-03,commercial,7331,under_development,96,87,34510000,coworking_offices
PRC-0438,Al Maqta,Z-HOS-02,hospitality,8786,vacant,83,82,27250000,resort_hospitality
PRC-0439,Saadiyat Island,Z-HOS-02,hospitality,9504,vacant,100,55,68150000,resort_hospitality
PRC-0440,Danet Abu Dhabi,Z-MIX-01,mixed_use,8595,reserved,86,84,38310000,premium_mixed_use
PRC-0441,Al Shamkha,Z-RES-02,residential,22991,developed,57,57,59590000,low_rise_residential
PRC-0442,Al Shamkha,Z-CMU-05,community,8464,developed,63,89,15530000,school_campus
PRC-0443,Al Bateen,Z-IND-03,industrial,23342,vacant,91,83,186720000,warehousing_hub
PRC-0444,Corniche,Z-IND-04,industrial,13156,developed,89,82,86440000,light_logistics
PRC-0445,Al Bahia,Z-MIX-05,mixed_use,12675,vacant,60,80,27350000,premium_mixed_use
PRC-0446,Masdar City,Z-IND-05,industrial,27023,under_development,91,86,175830000,ev_assembly_facility
PRC-0447,Saadiyat Island,Z-IND-03,industrial,19389,under_development,83,82,109520000,warehousing_hub
PRC-0448,Masdar City,Z-MIX-05,mixed_use,28594,vacant,97,57,116500000,waterfront_mixed_use
PRC-0449,Al Reem Island,Z-IND-01,industrial,13661,vacant,77,91,76790000,warehousing_hub
PRC-0450,Al Maryah Island,Z-COM-05,commercial,7089,vacant,91,92,42700000,innovation_offices
PRC-0451,Saadiyat Island,Z-RES-03,residential,19199,reserved,87,76,141360000,sustainable_residential
PRC-0452,Al Reef,Z-COM-01,commercial,6252,under_development,63,85,16620000,financial_offices
PRC-0453,Al Shamkha,Z-MIX-01,mixed_use,15339,vacant,55,92,47250000,cultural_mixed_use
PRC-0454,Yas Island,Z-RES-01,residential,7250,vacant,80,55,36670000,mid_rise_residential
PRC-0455,Al Zahiyah,Z-CMU-01,community,11868,developed,80,74,47000000,civic_center
PRC-0456,Al Shamkha,Z-HOS-04,hospitality,16090,developed,67,64,42820000,urban_boutique_hotel
PRC-0457,Al Maryah Island,Z-CMU-01,community,14665,developed,85,57,92270000,university_expansion
PRC-0458,Khalifa City,Z-COM-03,commercial,10337,developed,72,83,46240000,innovation_offices
PRC-0459,Al Reem Island,Z-RES-01,residential,25165,developed,100,56,124500000,mid_rise_residential
PRC-0460,Al Khalidiyah,Z-COM-01,commercial,7166,developed,93,100,27740000,entertainment_retail
PRC-0461,Khalifa City,Z-RES-02,residential,18924,vacant,76,77,79540000,beachfront_residential
PRC-0462,Zayed City,Z-CMU-01,community,16960,developed,66,64,58220000,university_expansion
PRC-0463,Al Maryah Island,Z-COM-03,commercial,4292,developed,94,84,38510000,neighborhood_retail
PRC-0464,Khalifa City,Z-IND-04,industrial,41116,vacant,61,50,112560000,cleantech_manufacturing
PRC-0465,Al Zahiyah,Z-HOS-01,hospitality,13391,developed,71,62,34860000,resort_hospitality
PRC-0466,Saadiyat Island,Z-CMU-05,community,15056,developed,92,99,100160000,university_expansion
PRC-0467,Al Bateen,Z-COM-01,commercial,5898,developed,91,75,41450000,neighborhood_retail
PRC-0468,Mussafah,Z-COM-02,commercial,11434,vacant,56,82,19010000,financial_offices
PRC-0469,Mohammed Bin Zayed City,Z-RES-03,residential,18514,developed,58,72,57770000,beachfront_residential
PRC-0470,Al Reem Island,Z-RES-05,residential,13731,vacant,83,66,70550000,beachfront_residential
PRC-0471,Al Maqta,Z-COM-03,commercial,6854,vacant,71,64,28120000,innovation_offices
PRC-0472,Al Bahia,Z-IND-02,industrial,18635,vacant,60,65,50930000,warehousing_hub
PRC-0473,Corniche,Z-COM-02,commercial,9807,vacant,91,82,45280000,financial_offices
PRC-0474,Danet Abu Dhabi,Z-RES-05,residential,18953,vacant,81,65,97480000,high_rise_residential
PRC-0475,Al Bahia,Z-IND-01,industrial,16243,vacant,58,75,37680000,cleantech_manufacturing
PRC-0476,Khalifa City,Z-RES-03,residential,17729,developed,59,60,57920000,sustainable_residential
PRC-0477,Masdar City,Z-COM-04,commercial,3922,developed,94,84,14290000,neighborhood_retail
PRC-0478,Corniche,Z-HOS-03,hospitality,8563,under_development,88,86,47830000,urban_boutique_hotel
PRC-0479,Danet Abu Dhabi,Z-CMU-05,community,10079,reserved,77,68,39310000,civic_center
PRC-0480,Al Reem Island,Z-MIX-02,mixed_use,14112,reserved,85,71,90360000,marina_mixed_use
PRC-0481,Mussafah,Z-COM-02,commercial,9574,developed,62,72,20360000,coworking_offices
PRC-0482,Al Reef,Z-COM-04,commercial,8945,under_development,71,46,16800000,financial_offices
PRC-0483,Mussafah,Z-MIX-04,mixed_use,15230,developed,54,76,36440000,marina_mixed_use
PRC-0484,Corniche,Z-HOS-01,hospitality,14601,vacant,92,70,78410000,marina_hotel
PRC-0485,Al Reef,Z-RES-01,residential,7945,vacant,63,100,18100000,mid_rise_residential
PRC-0486,Al Raha Beach,Z-HOS-04,hospitality,9044,vacant,87,92,37270000,urban_boutique_hotel
PRC-0487,Al Maqta,Z-IND-03,industrial,37720,vacant,62,61,130790000,ev_assembly_facility
PRC-0488,Al Shamkha,Z-COM-05,commercial,7481,developed,71,63,18990000,financial_offices
PRC-0489,Al Ghadeer,Z-MIX-05,mixed_use,12710,developed,54,100,36280000,premium_mixed_use
PRC-0490,Al Zahiyah,Z-RES-04,residential,6136,vacant,87,61,23550000,beachfront_residential
PRC-0491,Saadiyat Island,Z-COM-01,commercial,5110,developed,81,84,32110000,entertainment_retail
PRC-0492,Al Reef,Z-MIX-02,mixed_use,12590,under_development,58,68,28230000,cultural_mixed_use
PRC-0493,Al Zahiyah,Z-COM-05,commercial,9235,vacant,80,64,21930000,coworking_offices
PRC-0494,Al Reem Island,Z-MIX-02,mixed_use,13463,developed,91,59,83600000,premium_mixed_use
PRC-0495,Al Khalidiyah,Z-MIX-03,mixed_use,11765,under_development,85,60,61900000,marina_mixed_use
PRC-0496,Al Zahiyah,Z-COM-01,commercial,5748,developed,84,69,22590000,entertainment_retail
PRC-0497,Mohammed Bin Zayed City,Z-RES-03,residential,9555,developed,60,68,32220000,affordable_housing
PRC-0498,Al Bateen,Z-MIX-01,mixed_use,19013,vacant,100,73,105670000,waterfront_mixed_use
PRC-0499,Al Shamkha,Z-HOS-03,hospitality,18717,developed,51,87,45030000,resort_hospitality
PRC-0500,Al Zahiyah,Z-HOS-04,hospitality,14610,developed,87,69,61570000,resort_hospitality
PRC-0501,Danet Abu Dhabi,Z-RES-02,residential,20429,under_development,84,87,102630000,sustainable_residential
PRC-0502,Saadiyat Island,Z-HOS-03,hospitality,5992,developed,90,85,41200000,marina_hotel
PRC-0503,Khalifa City,Z-HOS-04,hospitality,9019,vacant,70,74,23440000,resort_hospitality
PRC-0504,Danet Abu Dhabi,Z-MIX-03,mixed_use,12772,reserved,77,49,47080000,transit_oriented_development
PRC-0505,Al Ghadeer,Z-CMU-02,community,10983,developed,68,73,23940000,healthcare_cluster
PRC-0506,Danet Abu Dhabi,Z-MIX-03,mixed_use,23317,under_development,74,84,106640000,marina_mixed_use
PRC-0507,Al Maqta,Z-IND-03,industrial,29261,under_development,71,81,93080000,light_logistics
PRC-0508,Al Maqta,Z-HOS-01,hospitality,16010,developed,70,57,51560000,marina_hotel
PRC-0509,Al Khalidiyah,Z-COM-03,commercial,6998,vacant,89,77,36790000,coworking_offices
PRC-0510,Al Raha Beach,Z-COM-02,commercial,6404,developed,89,56,27900000,entertainment_retail
PRC-0511,Danet Abu Dhabi,Z-IND-02,industrial,43810,vacant,81,75,178510000,cleantech_manufacturing
PRC-0512,Al Bahia,Z-IND-02,industrial,37038,under_development,67,84,72580000,ev_assembly_facility
PRC-0513,Al Maqta,Z-COM-03,commercial,6242,vacant,73,58,16780000,entertainment_retail
PRC-0514,Mohammed Bin Zayed City,Z-RES-01,residential,14200,developed,75,45,65810000,beachfront_residential
PRC-0515,Al Maqta,Z-MIX-02,mixed_use,17436,vacant,76,91,46750000,cultural_mixed_use
PRC-0516,Al Zahiyah,Z-COM-01,commercial,8910,under_development,79,63,30320000,entertainment_retail
PRC-0517,Masdar City,Z-IND-01,industrial,17593,developed,93,47,66230000,ev_assembly_facility
PRC-0518,Al Khalidiyah,Z-RES-02,residential,23717,vacant,89,54,106730000,high_rise_residential
PRC-0519,Khalifa City,Z-CMU-03,community,10735,developed,74,62,56370000,school_campus
PRC-0520,Saadiyat Island,Z-IND-02,industrial,18468,developed,90,99,105320000,ev_assembly_facility
PRC-0521,Mussafah,Z-RES-01,residential,21657,under_development,68,81,38320000,sustainable_residential
PRC-0522,Masdar City,Z-RES-01,residential,16169,vacant,96,81,89240000,sustainable_residential
PRC-0523,Mohammed Bin Zayed City,Z-HOS-05,hospitality,21535,vacant,76,71,88140000,urban_boutique_hotel
PRC-0524,Zayed City,Z-RES-02,residential,20242,developed,61,54,64770000,mid_rise_residential
PRC-0525,Al Bahia,Z-CMU-05,community,13450,developed,60,55,42440000,healthcare_cluster
PRC-0526,Al Zahiyah,Z-RES-05,residential,12131,developed,88,74,41960000,high_rise_residential
PRC-0527,Al Khalidiyah,Z-COM-04,commercial,7090,developed,79,87,25350000,neighborhood_retail
PRC-0528,Al Bahia,Z-CMU-03,community,10991,under_development,61,60,43130000,school_campus
PRC-0529,Al Reef,Z-COM-05,commercial,8288,developed,65,70,26300000,entertainment_retail
PRC-0530,Al Bahia,Z-RES-02,residential,20310,vacant,58,76,45710000,mid_rise_residential
PRC-0531,Yas Island,Z-RES-01,residential,14696,reserved,85,87,70220000,beachfront_residential
PRC-0532,Khalifa City,Z-MIX-05,mixed_use,6654,vacant,62,74,21910000,cultural_mixed_use
PRC-0533,Corniche,Z-HOS-04,hospitality,9350,developed,100,69,52730000,marina_hotel
PRC-0534,Corniche,Z-COM-01,commercial,10148,under_development,97,80,64350000,innovation_offices
PRC-0535,Al Maqta,Z-MIX-03,mixed_use,17884,under_development,72,50,58540000,transit_oriented_development
PRC-0536,Khalifa City,Z-RES-01,residential,6420,developed,60,90,21850000,mid_rise_residential
PRC-0537,Al Maqta,Z-RES-04,residential,25926,vacant,72,80,80400000,affordable_housing
PRC-0538,Al Bahia,Z-IND-02,industrial,43047,vacant,77,59,147340000,cleantech_manufacturing
PRC-0539,Mussafah,Z-IND-05,industrial,26997,under_development,60,67,70410000,light_logistics
PRC-0540,Zayed City,Z-MIX-03,mixed_use,26041,developed,68,73,59510000,waterfront_mixed_use
PRC-0541,Al Khalidiyah,Z-CMU-02,community,13569,vacant,84,71,79430000,healthcare_cluster
PRC-0542,Al Reef,Z-HOS-02,hospitality,21441,developed,72,80,38680000,resort_hospitality
PRC-0543,Al Reem Island,Z-RES-01,residential,12484,developed,69,90,46980000,affordable_housing
PRC-0544,Masdar City,Z-RES-04,residential,25791,under_development,87,56,111980000,beachfront_residential
PRC-0545,Al Maryah Island,Z-RES-04,residential,19217,reserved,92,56,128210000,mid_rise_residential
PRC-0546,Al Ghadeer,Z-HOS-03,hospitality,6855,vacant,61,91,18880000,urban_boutique_hotel
PRC-0547,Khalifa City,Z-COM-04,commercial,9582,under_development,68,75,35180000,financial_offices
PRC-0548,Danet Abu Dhabi,Z-RES-02,residential,23873,vacant,82,59,102820000,high_rise_residential
PRC-0549,Zayed City,Z-COM-05,commercial,7186,developed,76,73,21750000,innovation_offices
PRC-0550,Al Bateen,Z-COM-05,commercial,8726,developed,93,46,56760000,innovation_offices
